cook_name,main_ingredient,Serving,taking_time,Ingredients,Howtocook,Image
참치깍두기볶음밥,tuna,4인분,60분 이내,"깍두기 2컵', '참치캔 1/2컵', '대파 1개', '식용유 1대', '설탕 2+1/2공기', '간장 2숟가락', '참기름 1숟가락', '통깨 1숟가락', '달걀 1숟가락'","깍두기는 먹기 좋은 크기로 잘라 주고 김치 국물도 함께 준비해 주세요. 볶음밥에는 파 기름 아니겠어요. 대파(1대)를 송송 썰고 참치캔(1개)은 기름을 빼주고 베이컨, 삼겹살, 스팸, 소시지 등 갖고 계신 재료를 추가해 볶아주기! 
, 
달군 팬에 식용유(2)를 두르고
, 
대파를 넣어 파 기름을 만들고~ 
, 
기름 뺀 참치캔을 넣고 파 기름과 함께 볶다가
, 
팬 한쪽으로 몰아 놓고 
, 
간장(1)을 팬 가장자리에 부어
, 
바글바글 끓여 간장의 풍미를 살려주고 이때 타지 않게 조심! 끓어오른 간장과 함께 볶아 주고
, 
깍두기랑 국물을 함께 넣고
, 
설탕(1)을 넣어 함께 볶아 주고 드셔보시고 너무 시큼하다 싶으면 설탕을 추가로 넣어도 괜찮아요. 김치 익힘에 따라 설탕량은 조절하심 된답니다. 그리고 식감을 위해 고춧가루(0.5~1) 또는 고추장(0.3)을 추가로 넣어도 좋아요. 
, 
이어 밥(2공기+1/2공기)를 넣어 주걱을 세워가며 볶아주고 
, 
마지막에 참기름(1
, 
통깨 적당량을 넣어 마물~ 
, 
달걀 프라이도 준비하고
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/12/16/daa0fb86c5d51f076564c65efa7e01d11.jpg
목살스테이크카레,pork ,2인분,60분 이내,"목살 300g', '양파 1개', '당근 1/3개', '감자 1개', '물 2컵', '카레 '","목살은 후춧가루, 소금 적당량을 뿌려 밑간을 해놓고 팬에 구울 거라서 여기에다가 했어요. 
, 
그리고 양파(1)는 채 썰고, 당근(1/3), 감자(1)는 적당한 크기로 썰고 
, 
재료가 준비되면 팬에 고기랑 양파를 한데 넣고
, 
노릇하게 전체적으로 구워 주세요. 특히 양파는 볶으면 볶을수록 풍미가 좋아지니깐 아시죠? 볶다가 기름이 부족하다 싶으면 식용유를 넣어주세요. 돼지고기 기름으로 충분하긴 하나 목살은 비교적 기름이 적은 편이라서요~ 
, 
고기도 노릇하게 구워지고 양파도 갈색빛이 나게 볶아지면
, 
감자, 당근, 물(2컵)을 넣고
, 
재료에서 맛이 우러나게 그리고 감자가 익을 때까지 보글보글 끓여주고 이때 센 불에서 하면 국물이 금방 졸아드니깐 뚜껑 덮고 중불에서 끓여주고
, 
감자가 익으면 카레 가루를 조금씩 넣어가며 농도 조절을 해주세요. 2인분 기준이라 한 봉지 다 넣지 않고 1/2 사용했어요.
, 
뭉치지 않게 고루 풀어가며 끓여주고
, 
요건 취향껏~ 부드러운 맛을 위해 마지막에 우유 5숟가락 정도 넣어 주었어요.
, 
그리고 통 후춧가루 뿌려 마물 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/12/14/daeb8b1fa790448926efdcd2da47772e1.jpg
스팸주먹밥,ham(spam),2인분,60분 이내,"스팸 작은 거 1캔', '김밥용 김 1장', '밥 2공기', '간장 1숟가락', '맛술 1숟가락', '물 2숟가락', '설탕 0.5숟가락', '생강가루 약간', '참기름 1숟가락', '소금 0.2숟가락'","스팸은 4등분 해 주고 (뜨거운 물에 헹궈 만들었어요) 
, 
소스 재료인 간장(1), 맛술(1), 물(2), 설탕(0.5), 생강가루 약간을 한데 넣어 고루 섞어주고
, 
달군 팬에 스팸을 앞, 뒤로 굽고
, 
이어 만들어 놓은 소스를 한데 부어
, 
바글바글 끓여 양념이 배도록 바싹 스팸을 조려 줍니다. 
, 
콩밥이라 미안  참기름(1), 소금(0.2)를 한데 넣어 밥을 양념합니다. 스팸을 간장 양념에 조려 놓았기에 밥 양념은 조금만 해주는 게 좋답니다. 그렇다고 하나도 안 하면 맛이 덜 해요.
, 
김밥용 김 1장은 길게 4등분 해주고 
, 
사각 모양 틀에 밥을 채워 놓고
, 
그 위에 조려 놓은 스팸을 넣어 김으로 감싸주면 끝! 모양 틀 없으며 스팸캔으로 만들어 주심 된답니다. 같은 방법으로 3개 더 만들면 끝! 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/23/c51c20cc2af942e8b455a435b57e17b61.jpg
버섯장조림,mushroom,4인분,60분 이내,"달걀 6개', '미니 새송이 200g', '마늘 3쪽', '생강가루 0.1숟가락', '물 1컵', '간장 6숟가락', '맛술 2숟가락', '올리고 당 1숟가락', '설탕 0.5숟가락'","달걀 6개를 삶아주세요. 미리 실온에 꺼내 놓았다가 굵은소금이랑 식초를 넣어 삶아주면 된답니다.
, 
삶은 달걀은 찬물에 식혀 껍질을 까주세요. 
, 
삶은 달걀 6개, 미니 새송이 200g을 준비하고
, 
물 (1컵), 생강가루(0.1), 통마늘(3개),는 편 썰어 넣어주고 개운한 맛을 위해 페페론치노를 함께 넣었는데요 없으면 생략하셔도 무관합니다. 그래서 재료에 포함하지 않아요! 양념재료 간장(6), 맛술(2), 설탕(0.5), 올리고당(1)을 한데 넣어 바글바글 끓여주고 
, 
손질해 놓은 미니 새송이, 달걀을 한데 넣어 양념이 잘 배이도록 조려주심 된답니다. 국물이 적어 보이지만 버섯에서 수분이 나와 국물이 많아진답니다.
, 
바글바글 끓여 전체적으로 버섯과 달걀에 간이 배어들면 마무리해 주세요. (마지막 사진이 없네요 ^^;;) 
, 
계란장조림
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/17/fcf1d8f152a3323182e4235a86de50f21.jpg
감자어묵볶음,potato ,2인분,30분 이내,"감자 4개', '사각어묵 2장', '양파 1/2개', '올리브오일 3숟가락', '간장 2숟가락', '맛술 2숟가락', '올리고 당 1숟가락', '참기름 0.5숟가락', '통깨 1숟가락', '후춧가루 약간'","사이즈 작은 감자 4개 깎아 채 썰어 준비했어요. 저울 계량을 안 했더라고요 ^^;; 사각 어묵 2장 그리고 양파는 감자와 비슷한 길이와 굵기로 썰어주고
, 
달군 팬에 올리브오일(3)을 두르고 채 썰어 놓은 감자, 양파를 한데 넣어 볶아주고 이어 중불로 줄여주세요. 감자볶음 하실 때에는 평소보다 기름을 좀 넉넉하게 둘러 볶아 줘야 맛있더라고요. 그리고 양파를 넣어주면 단맛도 나고 감칠맛도 좋답니다. 전체적으로 촉촉하니 맛있어서 감자볶음 할 때 양파는 꼭 넣는 것 같아요.
, 
감자가 80% 이상 익으면
, 
어묵을 넣어 함께 볶아주고 
, 
감자가 완벽하게 다 익으면 맛술(2)를 넣어주고 
, 
간장(2)
, 
올리고당(1)을 넣어 전체적으로 양념이 배어들게 볶아주고 드셔보시고 간이 부족하다 싶으면 소금으로 해주심 될 것 같아요. 
, 
마지막으로 참기름(0.5), 통깨(1) 그리고 취향껏 후춧가루를 넣어 한 번 더 볶아 마무리합니다. 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/15/42f1de084c3cab690fadb6b1a7dfa00b1.jpg
계란카레,egg ,3인분,60분 이내,"삶은 달걀 5개', '양파 1개', '카레 가루 1봉지', '물 3컵', '식용유 1숟가락', '버터 1숟가락', '후춧가루 약간'","가족 인원수에 따라 삶은 달걀을 준비해 주심 된답니다. 점심 메뉴라 5개만 삶았어요. 4인 기준 2개씩 먹는다 생각하심 8개로 하심 되겠죠~ 그리고 양파 1개를 채 썰어 준비하고 
, 
달군 팬에 버터 1을 녹여 채 썰어 놓은 양파를 한참 동안 달달 볶아 주세요.
, 
요렇게 해주면 풍미도 좋고 부드럽고 암튼 맛있어요. 생각보다 한참 동안 볶아야 합니데이~ 버터 없음 식용유로~
, 
양파가 갈색빛이 돌면 다른 그릇에 옮겨 담아도 되고 팬 가장자리에 몰아 놓고 식용유 1을 두르고 삶은 달걀을 넣어 겉면을 전체적으로 굴려가며 노릇하게 구워주심 된답니다. 
, 
달걀이 구워지면 물(3컵)을 붓고
, 
보글보글 끓어오르면 중불로 줄여 카레 가루 1봉지를 넣어 뭉치지 않게 고루 저어가며 끓여 마무리합니다.
, 
마지막에 취향껏 후춧가루를 추가해도 좋아요. 양파만 넣어 볶았는데 다른 채소를 함께 넣어도 괜찮겠죠 
, 
카레만드는법 쉽죠 따끈한 흰쌀밥 준비해 쓰~윽 올려 비벼 드심 된답니다
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/14/5512a1648180d146f1ce61358b0e3de01.jpg
부추계란말이,egg ,2인분,30분 이내,"달걀 5개', '부추 썰어서 5숟가락', '소금 0.3숟가락', '맛술 1숟가락'","재료는 참 소박합니다  달걀 (5개) 그리고 부추 다져서 (5) 숟가락 정도 되는 양! 부추는 많이 넣으면 좋아요~
, 
소금(0.3), 맛술(1)을 한데 넣어 고루 풀어 주고 난 뒤
, 
썰어 놓은 부추를 넣어 섞어주면 재료 준비는 끝! 참 간단하죠. 색감을 위해 당근을 다져 넣어도 좋아요. 
, 
사각 팬을 이용하면 계란말이 만드실 때 휠씬 편하긴 해요. 말해 뭐해요  모양 잡기 얼마나 좋다고요. 달군 팬에 식용유를 두르고 키친타월로 기름을 닦아 내고 불은 중약 불로 줄여 달걀물을 부어주세요.
, 
윗면이 익기 시작하면 끝에서부터 돌돌 말아주고 (센 불 노노노 약불 또는 중약불에서 말아줘야 타지 않고 이쁘게 돌돌 말수 있어요)
, 
남겨 두었던 계란 물 붓고 같은 방법으로 돌돌 말아 줍니다. 
, 
준비한 달걀물이 없어질 때까지 무한 반복으로 말아 주심 돼요.
, 
한 김 식혀 먹기 좋게 썰어 그릇에 담아 내면 완성 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/08/d4e158ef4adddede761bf95202f18dbb1.jpg
소고기버섯전골,mushroom,4인분,30분 이내,"불고기용 소고기 200g', '느타리버섯 200g', '팽이버섯 150g', '표고버섯 50g', '새송이버섯 1개', '만가닥 버섯 150g', '만두 4개', '콩나물 100g', '대파 1/4대', '청양고추 1개', '양파 1/4개', '간장 2숟가락', '설탕 1숟가락', '다진 마늘 1숟가락', '참기름 1숟가락', '후춧가루 약간', '멸치 다시마 육수 3컵', '국간장 2숟가락', '소금 '","소 불고기(200g)을 준비이고 양념 재료인 간장(2), 설탕(1),다진 마늘(1), 참기름(1), 후춧가루 약간을 넣어 조물조물 양념이 배어들게 밑간을 해놓고 + 재료 손질하기 전에 멸치 다시마 육수 3컵 이 필요하니 끓여 준비해 주세요. 
, 
버섯은 종류별로 준비해 주고 양파는 채 썰고, 대파랑 청양고추는 송송 썰고 만두도 4개 함께 준비했어요. 그리고 색감을 위해 당근은 모양 틀로 찍어 주었답니다.
, 
그리고 콩나물을 씻어 함께 준비했어요. 없으시면 생략 가능하고요 무 또는 배추를 썰어 넣어도 좋답니다. 버섯이랑 소고기를 기준으로 가족이 좋아하는 재료 추가해 넣어주세요. 
, 
이제 냄비에 담아주면 되는데요. 콩나물을 바닥에 깔고 그리고 팽이버섯을 가닥 가닥 떼어 콩나물이랑 함께 깔아 주곤 난 뒤
, 
나머지 재료를 모양 잡아 보기 좋게 담고 마지막에 양념한 소고기를 올려 주었답니다. 
, 
멸치 다시마 육수(3컵), 국간장(2)를 넣어 간을 하고 육수를 붓고 끓여 주세요. 처음에는 육수가 부족해 보여지만 끓기 시작하면 버섯에서 수분이 나와 국물이 넉넉해진답니다. 이때 드셔보시고 부족한 간은 소금으로 해주심 돼요. 소고기는 젓가락으로 살살 풀어가며 끓여야지 뭉치지 않아요. 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/10/08/9b525bbe042046b531cab8024f7b983b1.jpg
베이컨달걀볶음밥,egg,1인분,30분 이내,"달걀 3개', '밥 1공기', '베이컨 3줄', '대파 1/2대', '간장 1숟가락', '소금 ', '후춧가루 ', '통깨 적당히'","달걀 3개를 풀어 준비하고 베이컨은 적당한 크기로 썰고, 대파는 송송 썰어 준비합니다. 
, 
달군 팬에 식용유를 적당히 두르고 대파를 먼저 달달 볶아 파 기름을 만들어 주고 
, 
이어 베이컨을 넣어 함께 볶아줍니다. 
, 
베이컨을 어느 정도 볶아 주었다면 사진처럼 한쪽으로 몰아 놓고 풀어 놓은 달걀물을 붓고 
, 
휘휘 젓어가며 스크램블 에그를 만들어 주고 
, 
두 재료를 섞어 한번 볶은 뒤 
, 
간장 1을 팬 가장자리 부분에 부어 바글바글 끓여 풍미를 더해주고 그런 다음 볶아 놓았던 베이컨, 달걀과 함께 볶아준다. 
, 
이어 공깃밥 한 공기를 넣어 주걱을 세워가며 고루 볶아준다. 드셔보시고 부족한 간은 소금으로 해주세요.
, 
마지막에 후춧가루, 통깨 적당량을 넣어 휘리릭 볶아 마무리합니다. 
, 
완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/24/e80e457c51a630bd5f0405b087ec1b381.jpg
고등어감자조림,mackerel,3인분,60분 이내,"고등어 1마리', '삶은 고구마 줄기 3컵', '양파 1/2개', '감자 1개', '청양고추 1개', '홍고추 1개', '대파 1/2대', '물 2컵', '설탕 1숟가락', '다진 마늘 1숟가락', '생강가루 0.2숟가락', '된장 0.5숟가락', '들기름 2숟가락', '고춧가루 3숟가락', '간장 1/2컵 \u200b'","내장, 지느러미 등을 제거하고 물에 씻어 쌀뜨물에 담가 주세요. 요렇게 하면 특유의 향을 없애 수 있거든요. 쌀뜨물이 없다 하심 청주 2숟가락을 고루 발라 재워 두세요.
, 
조림에 넣은 감자는 도톰하게 크게 썰어주고 청양고추, 홍고추, 대파는 송송 썰고 삶은 고구마 줄기도 먹기 좋게 썰어 재료를 준비합니다. + 삶은 고구마 줄기가 없을 경우 고등어 2마리 기준으로 조려주심 된답니다. 
, 
냄비에 감자랑
, 
고구마 순을 먼저 깔고
, 
그 위에 고등어, 양파를 올려주고 
, 
물 2컵을 부어주세요.
, 
그다음 설탕 1을 전체적으로 고루 뿌려주고 
, 
청양고추, 홍고추, 대파를 모두 넣고 센 불에 바글바글 끓여 주심 된답니다. 
, 
바글바글 끓기 시작하면 다진 마늘(1), 생강가루(0.2), 된장(0.5), 들기름(2), 고춧가루(3)을 한데 넣어주고
, 
고등어조림에 들기름을 넣어주면 생선 특유의 비린내를 잡아주니 꼭 넣어보세요. 
, 
그리고 간장(1/2컵)을 붓고
, 
센 불에서 바글바글 끓여가며 양념재료가 잘 풀어지도록 국물을 끼얹어가며 3분 이상 끓여 줍니다. 
, 
요렇게 센 불에서 끓여야지 비린내가 날아가요.
, 
그다음에 중약 불로 줄여 뚜껑을 덮고 20분간 조려 주세요. 중간중간 뚜껑을 열어 숟가락으로 양념장을 고등어에 끼얹어주세요
, 
국물이 자작해지도록 끓이다가 5분간 뜸을 더 들여 마무리해주심 된답니다. 
, 
고등어조림 완성
",https://recipe1.ezmember.co.kr/cache/recipe/2020/09/24/436a0ebc062919dc44111761d9e1a2cc1.jpg
